age,gender,origin_country,employment_status,travel_frequency,flight_duration,nervous_behavior,avoids_customs,inconsistent_story,unfamiliar_with_luggage,paid_with_cash,short_notice_ticket,one_way_ticket,previous_visits_to_hotspots,has_criminal_record,is_smuggler
45,male,Brazil,self-employed,0,1.8,no,no,no,no,no,no,no,2,no,0
54,female,Nigeria,unemployed,0,4.2,no,no,no,no,no,no,no,0,no,0
62,female,USA,unemployed,5,8.4,no,no,no,no,no,no,no,0,no,0
41,female,UK,employed,1,2.9,no,no,no,no,no,no,no,2,no,0
23,male,Colombia,unemployed,7,3.8,no,no,no,no,no,no,no,1,no,0
50,female,Brazil,unemployed,0,8.1,no,yes,yes,no,no,no,yes,1,no,1
28,female,Netherlands,student,5,13.1,no,yes,no,yes,yes,yes,no,3,no,1
58,male,Netherlands,employed,3,3.7,no,no,no,no,no,no,no,0,no,0
50,female,Colombia,employed,1,5.3,no,no,no,no,no,no,no,2,no,0
23,female,Brazil,employed,3,11.8,yes,yes,no,yes,yes,no,yes,4,yes,1
59,male,Nigeria,unemployed,4,9.5,no,no,no,no,no,no,no,2,no,0
56,male,Netherlands,employed,4,4.3,no,no,no,no,no,no,no,0,no,0
37,male,Netherlands,student,3,5.8,no,no,no,no,no,no,no,1,no,0
63,male,Netherlands,unemployed,3,6.2,no,no,no,no,no,no,no,2,no,0
28,male,Brazil,self-employed,4,7.4,no,no,no,no,no,no,no,2,no,0
40,male,USA,unemployed,0,12.3,yes,yes,yes,no,no,no,no,2,no,1
26,female,Nigeria,self-employed,1,7.2,yes,yes,no,no,yes,no,no,1,yes,1
26,female,Colombia,self-employed,4,5.7,no,no,no,no,no,no,no,0,no,0
45,male,Colombia,employed,2,5.2,no,no,no,no,no,no,no,2,no,0
41,female,USA,unemployed,2,11.0,yes,no,no,no,no,no,yes,4,no,1
28,female,Colombia,student,5,2.5,no,no,no,no,no,no,no,0,no,0
63,female,Colombia,unemployed,0,7.6,no,no,no,no,no,no,no,1,no,0
28,male,Mexico,self-employed,4,6.3,no,no,no,no,no,no,no,0,no,0
37,male,UK,self-employed,1,6.6,no,no,no,no,no,no,no,1,no,0
56,female,UK,student,5,7.3,no,no,no,no,no,no,no,0,no,0
39,male,Nigeria,unemployed,2,4.4,no,no,no,no,no,no,no,0,no,0
63,male,Netherlands,unemployed,1,3.9,no,no,no,no,no,no,no,1,no,0
45,male,UK,employed,3,6.7,no,no,no,no,no,no,no,1,no,0
31,male,Nigeria,student,1,5.4,no,no,no,no,no,no,no,0,no,0
34,male,Brazil,employed,2,10.7,yes,yes,no,yes,yes,no,yes,5,no,1
39,female,Colombia,unemployed,4,6.1,no,no,no,no,no,no,no,0,no,0
24,male,Brazil,unemployed,5,3.9,no,no,no,no,no,no,no,1,no,0
57,male,Brazil,student,5,6.1,no,no,no,no,no,no,no,0,no,0
29,male,Netherlands,student,3,5.1,no,no,no,no,no,no,no,2,no,0
45,male,Nigeria,self-employed,1,5.2,no,no,no,no,no,no,no,0,no,0
24,male,UK,unemployed,4,9.3,no,no,no,no,no,no,no,2,no,0
33,male,Mexico,unemployed,1,11.5,no,yes,no,yes,no,yes,yes,3,no,1
24,female,Netherlands,employed,4,8.9,no,no,no,no,no,no,no,1,no,0
62,male,Netherlands,employed,0,8.6,yes,no,yes,no,no,no,yes,4,yes,1
60,female,Brazil,employed,3,6.4,no,no,no,no,no,no,no,2,no,0
59,female,Mexico,self-employed,2,10.3,yes,yes,yes,no,no,yes,no,1,no,1
49,female,Nigeria,self-employed,3,14.2,no,yes,no,no,yes,no,yes,3,no,1
57,female,Netherlands,student,2,8.7,yes,yes,yes,yes,yes,no,yes,2,yes,1
61,male,Netherlands,student,4,3.5,no,no,no,no,no,no,no,0,no,0
47,female,UK,employed,0,5.4,no,no,no,no,no,no,no,0,no,0
59,male,Brazil,employed,3,8.7,no,no,no,no,no,no,no,0,no,0
33,male,Brazil,self-employed,2,4.6,no,no,no,no,no,no,no,0,no,0
51,female,Nigeria,self-employed,2,5.6,no,no,no,no,no,no,no,1,no,0
64,male,Mexico,self-employed,4,5.0,no,no,no,no,no,no,no,1,no,0
38,male,Nigeria,self-employed,3,5.8,no,no,no,no,no,no,no,0,no,0
51,male,Brazil,unemployed,1,7.0,no,no,no,no,no,no,no,0,no,0
18,female,Colombia,student,3,7.6,no,no,no,no,no,no,no,2,no,0
56,female,Mexico,employed,5,5.0,no,no,no,no,no,no,no,1,no,0
28,female,Nigeria,employed,3,3.8,no,no,no,no,no,no,no,0,no,0
31,male,Nigeria,student,2,8.8,no,no,yes,yes,yes,yes,yes,4,no,1
20,male,Netherlands,unemployed,1,5.2,no,no,no,no,no,no,no,2,no,0
22,male,Netherlands,student,2,4.4,no,no,no,no,no,no,no,0,no,0
31,male,Mexico,student,3,5.5,no,no,no,no,no,no,no,1,no,0
25,female,Mexico,unemployed,4,5.8,no,no,no,no,no,no,no,2,no,0
23,female,Colombia,self-employed,4,7.3,no,no,no,no,no,no,no,0,no,0
56,male,Nigeria,self-employed,5,5.2,no,no,no,no,no,no,no,0,no,0
23,female,UK,student,3,6.4,no,no,no,no,no,no,no,2,no,0
27,female,Brazil,employed,2,9.2,no,no,no,no,no,no,no,0,no,0
54,male,Mexico,unemployed,3,7.1,no,no,no,no,no,no,no,0,no,0
55,male,Brazil,self-employed,2,3.7,no,no,no,no,no,no,no,2,no,0
53,male,USA,self-employed,3,6.1,no,no,no,no,no,no,no,1,no,0
36,female,Colombia,student,4,4.8,no,no,no,no,no,no,no,0,no,0
45,male,Netherlands,unemployed,2,0.8,no,no,no,no,no,no,no,2,no,0
32,female,Mexico,student,3,1.6,no,no,no,no,no,no,no,1,no,0
19,female,Netherlands,self-employed,4,8.0,no,no,no,no,no,no,no,0,no,0
40,male,Mexico,unemployed,2,6.2,no,no,no,no,no,no,no,2,no,0
28,male,Netherlands,employed,2,3.5,no,no,no,no,no,no,no,0,no,0
59,male,Brazil,unemployed,0,10.4,no,no,no,no,yes,yes,no,4,yes,1
25,female,Netherlands,unemployed,0,9.9,yes,yes,yes,no,yes,no,no,1,no,1
62,male,USA,student,1,5.2,no,no,no,no,no,no,no,1,no,0
55,female,Brazil,employed,4,8.0,no,yes,no,no,yes,no,yes,2,no,1
26,male,Brazil,employed,4,7.2,no,no,no,no,no,no,no,0,no,0
21,male,USA,student,6,6.6,no,no,no,no,no,no,no,1,no,0
52,male,USA,self-employed,2,13.6,no,yes,no,no,yes,yes,yes,4,yes,1
37,female,Netherlands,student,3,7.1,no,no,no,no,no,no,no,2,no,0
61,male,Nigeria,self-employed,0,8.2,yes,no,yes,no,no,no,no,3,no,1
52,female,Nigeria,employed,1,9.0,no,no,no,no,no,no,no,0,no,0
19,female,USA,student,1,11.0,no,no,yes,no,no,yes,yes,3,no,1
47,female,Colombia,unemployed,2,5.2,no,no,no,no,no,no,no,1,no,0
40,male,UK,self-employed,2,8.5,no,no,no,no,no,no,no,1,no,0
25,female,UK,employed,4,11.3,yes,yes,no,no,yes,yes,no,3,no,1
63,male,USA,student,1,5.8,no,no,no,no,no,no,no,0,no,0
60,female,Brazil,unemployed,4,8.7,no,no,no,no,no,no,no,2,no,0
49,male,Nigeria,self-employed,1,9.4,yes,yes,no,yes,no,no,yes,5,no,1
51,female,Netherlands,student,1,4.9,no,no,no,no,no,no,no,0,no,0
50,female,Colombia,unemployed,3,8.3,yes,yes,no,no,no,no,no,2,yes,1
62,female,Brazil,unemployed,0,6.7,no,no,no,no,no,no,no,0,no,0
18,female,Nigeria,employed,2,4.5,no,no,no,no,no,no,no,1,no,0
51,female,Nigeria,self-employed,3,12.0,yes,no,no,no,no,no,no,5,yes,1
38,female,UK,unemployed,2,7.4,no,no,no,no,no,no,no,2,no,0
40,female,UK,unemployed,1,6.1,no,no,no,no,no,no,no,0,no,0
35,male,UK,unemployed,3,4.2,no,no,no,no,no,no,no,2,no,0
26,male,Netherlands,unemployed,2,10.8,yes,no,yes,no,no,no,yes,5,yes,1
64,male,Mexico,self-employed,7,4.3,no,no,no,no,no,no,no,2,no,0
43,female,USA,self-employed,4,7.8,no,no,no,no,no,no,no,2,no,0
48,male,Netherlands,self-employed,1,6.9,no,no,no,no,no,no,no,1,no,0
18,female,Nigeria,unemployed,1,8.4,no,no,no,no,no,no,no,1,no,0
62,female,Nigeria,student,1,9.8,yes,no,yes,yes,no,no,no,1,no,1
23,female,UK,employed,6,7.5,no,no,no,no,no,no,no,2,no,0
22,female,Netherlands,employed,1,10.2,no,no,no,no,no,no,no,1,no,0
32,male,UK,student,3,5.1,no,no,no,no,no,no,no,1,no,0
60,female,UK,unemployed,2,4.1,no,no,no,no,no,no,no,1,no,0
47,male,UK,self-employed,6,2.3,no,no,no,no,no,no,no,0,no,0
50,female,Mexico,employed,3,4.0,no,no,no,no,no,no,no,1,no,0
18,male,USA,employed,3,6.1,no,no,no,no,no,no,no,2,no,0
44,male,Mexico,employed,6,6.8,no,no,no,no,no,no,no,0,no,0
63,male,UK,student,3,5.1,no,no,no,no,no,no,no,2,no,0
63,male,Netherlands,employed,4,8.3,no,no,no,no,no,no,no,1,no,0
64,female,UK,student,1,5.3,no,no,no,no,no,no,no,0,no,0
35,male,Mexico,self-employed,5,4.2,no,no,no,no,no,no,no,2,no,0
53,male,Colombia,employed,3,8.6,no,no,no,no,no,no,no,2,no,0
33,male,Netherlands,self-employed,4,5.4,no,no,no,no,no,no,no,1,no,0
27,female,Brazil,unemployed,2,4.2,no,no,no,no,no,no,no,0,no,0
42,female,Nigeria,student,4,8.0,no,no,no,no,no,no,no,2,no,0
60,male,Mexico,student,3,4.1,no,no,no,no,no,no,no,2,no,0
32,male,Mexico,employed,5,3.6,no,no,no,no,no,no,no,0,no,0
52,female,Colombia,self-employed,4,4.0,no,no,no,no,no,no,no,2,no,0
18,male,Netherlands,student,1,3.3,no,no,no,no,no,no,no,1,no,0
36,female,UK,unemployed,3,9.4,no,no,no,no,no,no,no,1,no,0
56,male,UK,self-employed,4,9.3,yes,no,yes,no,no,no,yes,2,no,1
51,female,Mexico,student,4,4.0,no,no,no,no,no,no,no,0,no,0
32,female,UK,student,5,5.3,no,no,no,no,no,no,no,0,no,0
54,female,Nigeria,unemployed,2,7.7,no,no,no,no,no,no,no,0,no,0
31,male,Netherlands,student,3,5.1,no,no,no,no,no,no,no,2,no,0
37,male,Netherlands,student,4,5.2,no,no,no,no,no,no,no,1,no,0
48,female,USA,employed,4,5.7,no,no,no,no,no,no,no,1,no,0
42,female,Mexico,student,6,8.6,no,no,no,no,no,no,no,2,no,0
53,female,Mexico,unemployed,2,10.6,no,yes,yes,no,no,yes,yes,5,no,1
25,male,Nigeria,unemployed,2,8.7,yes,yes,yes,yes,no,yes,no,3,no,1
21,female,UK,self-employed,2,1.4,no,no,no,no,no,no,no,2,no,0
23,male,USA,student,7,5.8,no,no,no,no,no,no,no,0,no,0
46,male,USA,unemployed,1,3.5,no,no,no,no,no,no,no,1,no,0
38,female,Colombia,employed,4,8.2,no,no,no,no,no,no,no,0,no,0
54,male,UK,employed,1,6.7,yes,yes,no,no,yes,no,yes,1,yes,1
50,female,Brazil,self-employed,4,3.2,no,no,no,no,no,no,no,0,no,0
25,female,Brazil,student,8,5.4,no,no,no,no,no,no,no,2,no,0
35,male,Colombia,self-employed,6,7.9,no,no,no,no,no,no,no,2,no,0
39,female,Nigeria,employed,4,7.7,no,no,no,no,no,no,no,2,no,0
54,female,USA,unemployed,1,6.1,no,no,no,no,no,no,no,0,no,0
51,male,Colombia,self-employed,4,7.0,no,no,no,no,no,no,no,0,no,0
40,female,Nigeria,student,4,2.7,no,no,no,no,no,no,no,1,no,0
53,female,Netherlands,student,2,6.1,no,no,no,no,no,no,no,2,no,0
59,male,Colombia,self-employed,3,5.1,no,no,no,no,no,no,no,0,no,0
60,male,UK,self-employed,3,8.6,no,no,no,no,no,no,no,1,no,0
30,female,Nigeria,self-employed,4,6.3,no,no,no,no,no,no,no,2,no,0
25,male,Netherlands,employed,2,14.8,no,yes,yes,yes,yes,no,yes,4,yes,1
45,female,Brazil,student,4,4.0,no,no,no,no,no,no,no,2,no,0
